,title,brand,category_name,group_name
35,"""panasonic kxtg-3721sx cordless digital landline phone(silver)""","""Panasonic""","""Other Phones""","""Electronics"""
36,"""panasonic kx-tg3712sxn cordless landline phone(silver)""","""Panasonic""","""Other Phones""","""Electronics"""
37,"""swiss voice epure+ cordless landline phone(black)""","""Swiss Voice""","""Other Phones""","""Electronics"""
38,"""gigaset a590 corded & cordless landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
39,"""beetel m60 corded landline phone""","""Beetel""","""Other Phones""","""Electronics"""
40,"""gigaset a490 duo cordless landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
41,"""beetel b15 corded landline phone(light grey)""","""Beetel""","""Other Phones""","""Electronics"""
42,"""panasonic kx-ts580mx corded landline phone(white)""","""Panasonic""","""Other Phones""","""Electronics"""
43,"""beetel x66 cordless landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
44,"""beetel m70 corded landline phone(black and silver)""","""Beetel""","""Other Phones""","""Electronics"""
45,"""panasonic kxtg-3722 cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
46,"""panasonic kxtg-4315bx cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
47,"""binatone spirit 500 landline phone(white)""","""Binatone""","""Other Phones""","""Electronics"""
48,"""panasonic kx-tg 3612 cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
49,"""gigaset a495 cordless landline phone with answering machine(black)""","""Gigaset""","""Other Phones""","""Electronics"""
50,"""beetel b70 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
51,"""beetel m60 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
52,"""beetel b77 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
53,"""orpat 3665 corded landline phone(full black)""","""Orpat""","""Other Phones""","""Electronics"""
54,"""beetel m51 corded landline phone(light grey)""","""Beetel""","""Other Phones""","""Electronics"""
55,"""gigaset a490 duo cordless landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
56,"""binatone spirit 510dx landline phone(black)""","""Binatone""","""Other Phones""","""Electronics"""
57,"""orpat 3665 corded landline phone(red)""","""Orpat""","""Other Phones""","""Electronics"""
58,"""orpat 3565 corded landline phone(c.blue)""","""Orpat""","""Other Phones""","""Electronics"""
59,"""uniden as7202 corded landline phone(white)""","""Uniden""","""Other Phones""","""Electronics"""
60,"""gigaset da610 corded landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
61,"""beetel x64 cordless landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
62,"""gigaset a220 cordless landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
63,"""orpat 3665 corded landline phone(c.blue)""","""Orpat""","""Other Phones""","""Electronics"""
64,"""beetel b25 corded landline phone(w/grey)""","""Beetel""","""Other Phones""","""Electronics"""
65,"""panasonic kx-ts520mx corded landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
66,"""uniden as7101 corded landline phone(white)""","""Uniden""","""Other Phones""","""Electronics"""
67,"""orpat 3862 corded landline phone(black)""","""Orpat""","""Other Phones""","""Electronics"""
68,"""motorola c1001lbi corded & cordless landline phone(white, cherry)""","""Motorola""","""Other Phones""","""Electronics"""
69,"""gigaset a490 cordless landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
70,"""binatone concept 711 corded landline phone(black)""","""Binatone""","""Other Phones""","""Electronics"""
71,"""binatone spirit 100 corded telephone(black)""","""Binatone""","""Other Phones""","""Electronics"""
72,"""swiss voice cp12 corded landline phone(black)""","""Swiss Voice""","""Other Phones""","""Electronics"""
73,"""gigaset s880 cordless landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
74,"""beetel x64 cordless landline phone(grey)""","""Beetel""","""Other Phones""","""Electronics"""
75,"""gigaset c670 corded & cordless landline phone with answering machine(black)""","""Gigaset""","""Other Phones""","""Electronics"""
76,"""panasonic kx-tg4311bx2 cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
77,"""panasonic kx-ts880mxbd corded landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
78,"""swiss voice epure+ cordless landline phone(white)""","""Swiss Voice""","""Other Phones""","""Electronics"""
79,"""swiss voice epure+ cordless landline phone(red)""","""Swiss Voice""","""Other Phones""","""Electronics"""
80,"""binatone spirit 200 corded landline phone(white)""","""Binatone""","""Other Phones""","""Electronics"""
81,"""gigaset a220 cordless landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
82,"""binatone concept 3005 combo landline phone""","""Binatone""","""Other Phones""","""Electronics"""
83,"""swiss voice vintage 20 corded landline phone(white)""","""Swiss Voice""","""Other Phones""","""Electronics"""
84,"""swiss voice cp-20 corded landline phone(black)""","""Swiss Voice""","""Other Phones""","""Electronics"""
85,"""panasonic kx-t2373mxw corded landline phone(white)""","""Panasonic""","""Other Phones""","""Electronics"""
86,"""uniden as 7402 corded landline phone(white)""","""Uniden""","""Other Phones""","""Electronics"""
87,"""alcatel 29449 corded landline phone(black)""","""Alcatel""","""Other Phones""","""Electronics"""
88,"""gigaset da310 corded landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
89,"""gigaset da610 corded landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
90,"""orpat 1000-lr corded landline phone(burgundy)""","""Orpat""","""Other Phones""","""Electronics"""
91,"""motorola ct 100 black corded landline phone(black)""","""Motorola""","""Other Phones""","""Electronics"""
92,"""orpat 3862 corded landline phone(blue)""","""Orpat""","""Other Phones""","""Electronics"""
93,"""orpat 3565 corded landline phone(p.s.grey)""","""Orpat""","""Other Phones""","""Electronics"""
94,"""panasonic kx-tg3811sxb cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
95,"""panasonic kxts-820mx corded landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
96,"""g nine x-900 corded landline phone(white)""","""G NINE""","""Other Phones""","""Electronics"""
97,"""beetel x78 cordless landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
98,"""orpat 3565 corded landline phone(red)""","""Orpat""","""Other Phones""","""Electronics"""
99,"""binatone solas 1505 digital cordless landline phone(black)""","""Binatone""","""Other Phones""","""Electronics"""
100,"""orpat 1820 corded landline phone(white)""","""Orpat""","""Other Phones""","""Electronics"""
101,"""gigaset a220a cordless landline phone with answering machine(black)""","""Gigaset""","""Other Phones""","""Electronics"""
102,"""panasonic kx-tg2338 cordless landline phone(silver)""","""Panasonic""","""Other Phones""","""Electronics"""
103,"""alcatel temporis retro corded landline phone(black)""","""Alcatel""","""Other Phones""","""Electronics"""
104,"""gigaset a495 cordless landline phone with answering machine(white)""","""Gigaset""","""Other Phones""","""Electronics"""
105,"""panasonic kxtg-3712 cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
106,"""panasonic kx-ts500mx corded landline phone(blue)""","""Panasonic""","""Other Phones""","""Electronics"""
107,"""beetel m53 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
108,"""orpat 1600-lr corded landline phone(black)""","""Orpat""","""Other Phones""","""Electronics"""
109,"""microtel gt-1 gsm fct for corded landline phone(white)""","""Microtel""","""Other Phones""","""Electronics"""
110,"""shrih caller id telephone corded landline phone(white)""","""Shrih""","""Other Phones""","""Electronics"""
111,"""gigaset da210 corded landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
112,"""beetel m59 corded landline phone(off white)""","""Beetel""","""Other Phones""","""Electronics"""
113,"""tootpado football shaped telephone - 1m215 corded landline phone(multicolor)""","""Tootpado""","""Other Phones""","""Electronics"""
114,"""tootpado mouth tongue shape telephone - 1m208 corded landline phone(multicolor)""","""Tootpado""","""Other Phones""","""Electronics"""
115,"""tootpado football shaped telephone - 1m214 corded landline phone(multicolor)""","""Tootpado""","""Other Phones""","""Electronics"""
116,"""tootpado vintage old style telephone - 1m216 - with caller id corded landline phone(multicolor)""","""Tootpado""","""Other Phones""","""Electronics"""
117,"""tootpado teeth jaw shape telephone - 1m207 corded landline phone(multicolor)""","""Tootpado""","""Other Phones""","""Electronics"""
118,"""tootpado guitar shaped telephone - 1m213 corded landline phone(multicolor)""","""Tootpado""","""Other Phones""","""Electronics"""
119,"""tootpado bike shape telephone - 1m210 corded landline phone(red)""","""Tootpado""","""Other Phones""","""Electronics"""
120,"""tootpado animal dog shaped telephone - 1m212 corded landline phone(multicolor)""","""Tootpado""","""Other Phones""","""Electronics"""
121,"""tootpado bike shape tele - 1m209 corded landline phone(multicolor)""","""Tootpado""","""Other Phones""","""Electronics"""
122,"""motorola conference 1002 cordless landline phone with answering machine(black)""","""Motorola""","""Other Phones""","""Electronics"""
123,"""beetel b17 corded landline phone(warm grey)""","""Beetel""","""Other Phones""","""Electronics"""
124,"""beetel b11 corded landline phone(blue)""","""Beetel""","""Other Phones""","""Electronics"""
125,"""uniden as7409 corded landline phone(black)""","""Uniden""","""Other Phones""","""Electronics"""
126,"""panasonic kx-tg3612bx1 cordless landline phone(silver)""","""Panasonic""","""Other Phones""","""Electronics"""
127,"""panasonic kx-tfg342b corded & cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
128,"""panasonic kx-prw120 cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
129,"""panasonic kx-tge210 corded & cordless landline phone(silver)""","""Panasonic""","""Other Phones""","""Electronics"""
130,"""beetel m76 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
131,"""sonitel st-598 corded landline phone(red)""","""Sonitel""","""Other Phones""","""Electronics"""
132,"""sonitel st-901 corded landline phone(white)""","""Sonitel""","""Other Phones""","""Electronics"""
133,"""sonitel st-8585a corded landline phone(white)""","""Sonitel""","""Other Phones""","""Electronics"""
134,"""beetel m27 corded landline phone(warm grey)""","""Beetel""","""Other Phones""","""Electronics"""
135,"""beetel m27 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
136,"""panasonic kxtg-3615bx 2.4 ghz cordless phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
137,"""panasonic kx-tg3411sxh cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
138,"""panasonic kx-tg2480bx1 cordless landline phone(silver)""","""Panasonic""","""Other Phones""","""Electronics"""
139,"""panasonic kxtg-3821sx cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
140,"""beetel m59 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
141,"""tootpado creative fixed corded landline phone(blue)""","""Tootpado""","""Other Phones""","""Electronics"""
142,"""uniden as7412 corded landline phone(black)""","""Uniden""","""Other Phones""","""Electronics"""
143,"""shrih sh - 01299 corded landline phone(blue)""","""Shrih""","""Other Phones""","""Electronics"""
144,"""panasonic kx-t2378mxwd corded landline phone(white)""","""Panasonic""","""Other Phones""","""Electronics"""
145,"""beetel b17 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
146,"""beetel m71 corded landline phone(grey black)""","""Beetel""","""Other Phones""","""Electronics"""
147,"""binatone concept 700 landline phone(black)""","""Binatone""","""Other Phones""","""Electronics"""
148,"""panasonic kx-tsc60sxb corded landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
149,"""beetel m71 corded landline phone(white)""","""Beetel""","""Other Phones""","""Electronics"""
150,"""orpat 1500-ee corded landline phone(black)""","""Orpat""","""Other Phones""","""Electronics"""
151,"""panasonic kx-tg3611sxs cordless landline phone(silver)""","""Panasonic""","""Other Phones""","""Electronics"""
152,"""binatone trend 1 digital corded landline phone(white)""","""Binatone""","""Other Phones""","""Electronics"""
153,"""orpat 1000-lr corded landline phone(brown)""","""Orpat""","""Other Phones""","""Electronics"""
154,"""orpat 1600 lr corded landline phone(t.blue)""","""Orpat""","""Other Phones""","""Electronics"""
155,"""orpat 1000-lr corded landline phone(black)""","""Orpat""","""Other Phones""","""Electronics"""
156,"""orpat 1410 corded landline phone(brgnd)""","""Orpat""","""Other Phones""","""Electronics"""
157,"""orpat 1410 corded landline phone(trendy blue)""","""Orpat""","""Other Phones""","""Electronics"""
158,"""orpat 3862 corded landline phone(silver)""","""Orpat""","""Other Phones""","""Electronics"""
159,"""orpat 1500-ee corded landline phone(red)""","""Orpat""","""Other Phones""","""Electronics"""
160,"""orpat 1500-ee corded landline phone(trendy blue)""","""Orpat""","""Other Phones""","""Electronics"""
161,"""orpat 1600 lr corded landline phone(burgundy)""","""Orpat""","""Other Phones""","""Electronics"""
162,"""panasonic kx-tsc60sxw corded landline phone(white)""","""Panasonic""","""Other Phones""","""Electronics"""
163,"""ibs f501 cordless landline phone(multicolor)""","""IBS""","""Other Phones""","""Electronics"""
164,"""binatone concept 700 corded landline phone(black)""","""Binatone""","""Other Phones""","""Electronics"""
165,"""beetel m51 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
166,"""panasonic kx-ts500mx corded landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
167,"""panasonic kxtg-3711sx cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
168,"""panasonic kx-tsc62sxb corded landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
169,"""spctelecom 3016t landline phone(violet)""","""SPCtelecom""","""Other Phones""","""Electronics"""
170,"""spctelecom 6222j landline phone(aubergine)""","""SPCtelecom""","""Other Phones""","""Electronics"""
171,"""spctelecom 3283 landline phone(titanium)""","""SPCtelecom""","""Other Phones""","""Electronics"""
172,"""spctelecom 3246 landline phone(titanium)""","""SPCtelecom""","""Other Phones""","""Electronics"""
173,"""spctelecom 3145 landline phone(silver)""","""SPCtelecom""","""Other Phones""","""Electronics"""
174,"""spctelecom 3604n corded landline phone(black)""","""SPCtelecom""","""Other Phones""","""Electronics"""
175,"""spctelecom 6222v landline phone(green)""","""SPCtelecom""","""Other Phones""","""Electronics"""
176,"""spctelecom 3145 landline phone(black)""","""SPCtelecom""","""Other Phones""","""Electronics"""
177,"""spctelecom 3016a landline phone(blue)""","""SPCtelecom""","""Other Phones""","""Electronics"""
178,"""spctelecom 3606r retro elegance corded landline phone(red)""","""SPCtelecom""","""Other Phones""","""Electronics"""
179,"""spctelecom 3603b corded landline phone(white)""","""SPCtelecom""","""Other Phones""","""Electronics"""
180,"""spctelecom 3145 landline phone(blue)""","""SPCtelecom""","""Other Phones""","""Electronics"""
181,"""spctelecom 3606n retro elegance corded landline phone(black)""","""SPCtelecom""","""Other Phones""","""Electronics"""
182,"""spctelecom 3601 landline phone(white green)""","""SPCtelecom""","""Other Phones""","""Electronics"""
183,"""spctelecom 3606o retro elegance corded landline phone(orange)""","""SPCtelecom""","""Other Phones""","""Electronics"""
184,"""spctelecom 3016v landline phone(green)""","""SPCtelecom""","""Other Phones""","""Electronics"""
185,"""beetel b77 corded landline phone(white)""","""Beetel""","""Other Phones""","""Electronics"""
186,"""panasonic kx-tg4312bx2 cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
187,"""uniden as7413 corded landline phone(black)""","""Uniden""","""Other Phones""","""Electronics"""
188,"""italish kx-t333 landline telephone corded landline phone(red)""","""Italish""","""Other Phones""","""Electronics"""
189,"""uniden as7202 corded landline phone(black)""","""Uniden""","""Other Phones""","""Electronics"""
190,"""uniden tru 9496 corded landline phone(silver)""","""Uniden""","""Other Phones""","""Electronics"""
191,"""flintstop anti radiation corded landline phone(blue)""","""Flintstop""","""Other Phones""","""Electronics"""
192,"""motorola ct1 corded landline phone(black)""","""Motorola""","""Other Phones""","""Electronics"""
193,"""wibridge rm3g301 corded landline phone(black)""","""Wibridge""","""Other Phones""","""Electronics"""
194,"""shrih antique designed corded landline phone(brown)""","""Shrih""","""Other Phones""","""Electronics"""
195,"""giotel g2 dual sim fixed wireless phone corded landline phone(black)""","""GIOTEL""","""Other Phones""","""Electronics"""
196,"""tootpado 1m000031 piano corded landline phone(black)""","""Tootpado""","""Other Phones""","""Electronics"""
197,"""royal handicrafts kz2561 corded landline phone(multicolor)""","""Royal Handicrafts""","""Other Phones""","""Electronics"""
198,"""beetel m52 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
199,"""panasonic kxtg-3722 cordless landline phone(silver)""","""Panasonic""","""Other Phones""","""Electronics"""
200,"""binatone spirit 200 corded landline phone(black)""","""Binatone""","""Other Phones""","""Electronics"""
201,"""binatone spirit 500 landline phone(black)""","""Binatone""","""Other Phones""","""Electronics"""
202,"""binatone trend 1 corded telephone(black)""","""Binatone""","""Other Phones""","""Electronics"""
203,"""beetel x62 cordless landline phone(black & silver)""","""Beetel""","""Other Phones""","""Electronics"""
204,"""beetel m71 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
205,"""beetel b15 corded landline phone(black)""","""Beetel""","""Other Phones""","""Electronics"""
206,"""panasonic kx-tg3611sxb cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
207,"""uniden as 7402 corded landline phone(titanium)""","""Uniden""","""Other Phones""","""Electronics"""
208,"""uniden as7103 corded landline phone(white)""","""Uniden""","""Other Phones""","""Electronics"""
209,"""uniden as 7502 corded landline phone(titanium)""","""Uniden""","""Other Phones""","""Electronics"""
210,"""uniden as7413 corded landline phone(white)""","""Uniden""","""Other Phones""","""Electronics"""
211,"""alcatel temporis 55 corded landline phone(black)""","""Alcatel""","""Other Phones""","""Electronics"""
212,"""alcatel temporis mini corded landline phone(white)""","""Alcatel""","""Other Phones""","""Electronics"""
213,"""uniden as1002 dect 1.8 cordless landline phone""","""Uniden""","""Other Phones""","""Electronics"""
214,"""uniden as7412 corded landline phone(white)""","""Uniden""","""Other Phones""","""Electronics"""
215,"""gigaset euroset 5020 corded landline phone(anthracite)""","""Gigaset""","""Other Phones""","""Electronics"""
216,"""swiss voice aeris 134 cordless landline phone(black)""","""Swiss Voice""","""Other Phones""","""Electronics"""
217,"""gigaset euroset 5020 corded landline phone(arctic grey)""","""Gigaset""","""Other Phones""","""Electronics"""
218,"""uniden as7408 corded landline phone(black)""","""Uniden""","""Other Phones""","""Electronics"""
219,"""orpat 3665 corded landline phone(p.s.grey)""","""Orpat""","""Other Phones""","""Electronics"""
220,"""ge 26739ge cordless landline phone(black and selver)""","""GE""","""Other Phones""","""Electronics"""
221,"""panasonic kx-t7730x corded landline phone with answering machine(white)""","""Panasonic""","""Other Phones""","""Electronics"""
222,"""ge ge26928ge2 cordless landline phone(multicolor)""","""GE""","""Other Phones""","""Electronics"""
223,"""ge ex29650ge2-a corded & cordless landline phone(metalik dark gery)""","""GE""","""Other Phones""","""Electronics"""
224,"""italish caller id kx-t666 telephone corded landline phone(red)""","""ITALISH""","""Other Phones""","""Electronics"""
225,"""panasonic kx-ts520mx corded landline phone(white)""","""Panasonic""","""Other Phones""","""Electronics"""
226,"""gigaset a100 white cordless landline phone(white)""","""Gigaset""","""Other Phones""","""Electronics"""
227,"""gigaset a450 white & orange cordless landline phone(white & orange)""","""Gigaset""","""Other Phones""","""Electronics"""
228,"""gigaset a100 black cordless landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
229,"""panasonic kx-tg3711sxb cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
230,"""motorola d501ih cordless landline phone(black/silver)""","""Motorola""","""Other Phones""","""Electronics"""
231,"""motorola d501ih cordless landline phone(white/siilver)""","""Motorola""","""Other Phones""","""Electronics"""
232,"""panasonic kx-tgd310 corded & cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
233,"""alcatel ellip 250 cordless landline phone(dark grey)""","""Alcatel""","""Other Phones""","""Electronics"""
234,"""gigaset a490 cordless landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
235,"""gigaset a590 corded & cordless landline phone(black)""","""Gigaset""","""Other Phones""","""Electronics"""
236,"""panasonic kx-tg3600sx cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
237,"""panasonic kx-ts500mx corded landline phone(white)""","""Panasonic""","""Other Phones""","""Electronics"""
238,"""panasonic kx-ts840sx corded landline phone(white)""","""Panasonic""","""Other Phones""","""Electronics"""
239,"""panasonic kxtg-3615bx cordless landline phone(silver)""","""Panasonic""","""Other Phones""","""Electronics"""
240,"""panasonic kx-ts500mx corded landline phone(red)""","""Panasonic""","""Other Phones""","""Electronics"""
241,"""italish nm-ts321mn corded landline phone(black)""","""Italish""","""Other Phones""","""Electronics"""
242,"""metatek mt-6188 gsm sim based fm radio cordless landline phone(black)""","""Metatek""","""Other Phones""","""Electronics"""
243,"""panasonic kx-ts580mx corded landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
244,"""talktel f11 bk corded landline phone(black)""","""talktel""","""Other Phones""","""Electronics"""
245,"""talktel f33 rd corded landline phone(red)""","""talktel""","""Other Phones""","""Electronics"""
246,"""talktel f11 gr corded landline phone(grey)""","""talktel""","""Other Phones""","""Electronics"""
247,"""talktel f33 bl corded landline phone(blue)""","""talktel""","""Other Phones""","""Electronics"""
248,"""talktel f11 wh corded landline phone(white)""","""talktel""","""Other Phones""","""Electronics"""
249,"""talktel f33 bk corded landline phone(black)""","""talktel""","""Other Phones""","""Electronics"""
250,"""beetel x67 cordless landline phone(silver black)""","""Beetel""","""Other Phones""","""Electronics"""
251,"""uniden as7401 corded landline phone(titanium)""","""Uniden""","""Other Phones""","""Electronics"""
252,"""huawei f501 wireless gsm cordless landline phone(black)""","""Huawei""","""Other Phones""","""Electronics"""
253,"""huawei f317 sim enabled cordless with fm radio landphone corded landline phone(white)""","""Huawei""","""Other Phones""","""Electronics"""
254,"""italish black landline telephone corded landline phone(black)""","""Italish""","""Other Phones""","""Electronics"""
255,"""italish white orientel jumbo lcd cid back light kx-t666 corded landline telephone corded landline phone(white)""","""Italish""","""Other Phones""","""Electronics"""
256,"""beetel m71 updated version with scheme corded landline phone(black)""","""BEETEL""","""Other Phones""","""Electronics"""
257,"""cisco spa 303 3-line ip phone corded & cordless landline phone(black)""","""Cisco""","""Other Phones""","""Electronics"""
258,"""beetel 11 basic telephone update version with scheme corded landline phone(black)""","""BEETEL""","""Other Phones""","""Electronics"""
259,"""shopo kx-t333 telephone corded landline phone(blue)""","""Shopo""","""Other Phones""","""Electronics"""
260,"""shopo kx-t333 telephone corded landline phone(red)""","""Shopo""","""Other Phones""","""Electronics"""
261,"""italish red orientel kx-t333 office phone corded landline phone(red)""","""Italish""","""Other Phones""","""Electronics"""
262,"""italish white orientel kx-t333 office phone corded landline phone(white)""","""Italish""","""Other Phones""","""Electronics"""
263,"""gigaset a450 cordless landline phone(black & blue)""","""Gigaset""","""Other Phones""","""Electronics"""
264,"""italish black orientel kx-t333 office phone corded landline phone(black)""","""Italish""","""Other Phones""","""Electronics"""
265,"""panasonic 2713-b cordless landline phone(black)""","""Panasonic""","""Other Phones""","""Electronics"""
266,"""italish new stylish royal class ringer led indication corded kx-t777telephone corded landline phone(brawn)""","""Italish""","""Other Phones""","""Electronics"""
267,"""panasonic pa-1612b cordless landline phone(multicolor)""","""Panasonic""","""Other Phones""","""Electronics"""
268,"""italish orientel kx-t1577cid telephone corded landline phone(black)""","""Italish""","""Other Phones""","""Electronics"""
269,"""italish silver orientel jumbo lcd cid back light kx-t666 corded landline telephone corded landline phone(silver)""","""Italish""","""Other Phones""","""Electronics"""
270,"""beetel m51 corded landline phone(blue)""","""Beetel""","""Other Phones""","""Electronics"""
271,"""italish blue orientel kx-t333 office phone corded landline phone(blue)""","""Italish""","""Other Phones""","""Electronics"""
272,"""orpat 3862 corded landline phone(green)""","""Orpat""","""Other Phones""","""Electronics"""
273,"""vmore kx-t555 orientel telephone corded landline phone(black)""","""Vmore""","""Other Phones""","""Electronics"""
274,"""vmore kxt555cid telephone corded landline phone(white)""","""Vmore""","""Other Phones""","""Electronics"""
275,"""vmore jumbo kx-t1555 lcd telephone corded landline phone(red)""","""Vmore""","""Other Phones""","""Electronics"""
276,"""vmore kx-t666cld telephone corded landline phone(black)""","""Vmore""","""Other Phones""","""Electronics"""
277,"""orpat 3565 corded landline phone(brown)""","""Orpat""","""Other Phones""","""Electronics"""
278,"""istore jumbo lcd kx-t1555 telephone corded landline phone(black)""","""Istore""","""Other Phones""","""Electronics"""
279,"""vmore caller id kx-t666 telephone corded landline phone(silver)""","""Vmore""","""Other Phones""","""Electronics"""
280,"""vmore ringer led indication kx-t777 telephone corded landline phone(nickel)""","""Vmore""","""Other Phones""","""Electronics"""
